epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,222.96,1.16183,0.64897,1,0.8929,0.000413813,0.000413813,0.000413813
2,435.925,0.84,0.67295,1,0.79549,0.000814036,0.000814036,0.000814036
3,643.203,0.77613,0.68664,1,0.86167,0.00119776,0.00119776,0.00119776
4,917.497,0.71479,0.72945,1,0.7381,0.00117575,0.00117575,0.00117575
5,1136.85,0.64973,0.70034,1,0.85843,0.001151,0.001151,0.001151
6,1342.29,0.55539,0.72089,1,0.79863,0.00112625,0.00112625,0.00112625
7,2888.43,0.53929,0.7226,1,0.82711,0.0011015,0.0011015,0.0011015
