epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,190.095,2.75867,0.2978,0.67174,2.34741,0.000144007,0.000144007,0.000144007
2,387.532,2.08619,0.5313,0.83418,1.67659,0.000283285,0.000283285,0.000283285
3,589.243,1.59596,0.61252,0.86464,1.39152,0.00041682,0.00041682,0.00041682
4,796.165,1.34606,0.6176,0.87986,1.2592,0.000409161,0.000409161,0.000409161
5,994.474,1.1371,0.6379,0.89848,1.21797,0.000400548,0.000400548,0.000400548
6,1205.33,1.0562,0.66667,0.90186,1.14161,0.000391935,0.000391935,0.000391935
7,1398.57,0.96953,0.67174,0.90694,1.12449,0.000383322,0.000383322,0.000383322
